subject	session	mapping	run	trial_nr	orientation	sample_idx	x_deg	y_deg
01	1	inverse_cdf	1	1	112.5	0	-0.6761781708621021	-1.0092860834899502
01	1	inverse_cdf	1	1	112.5	1	-0.582549840783496	-1.011876727556163
01	1	inverse_cdf	1	1	112.5	2	1.042360335202262	-1.174477480410571
01	1	inverse_cdf	1	1	112.5	3	-0.3928655391719801	-1.7606308524141805
01	1	inverse_cdf	1	1	112.5	4	-0.2581983170206672	-1.8928341387917864
01	1	inverse_cdf	1	1	112.5	5	-0.34233343508456776	-1.796359419582165
01	1	inverse_cdf	1	1	112.5	6	-0.5234690417284035	-1.9003427701399433
01	1	inverse_cdf	1	1	112.5	7	-0.506971160228522	-1.9981023331563514
01	1	inverse_cdf	1	1	112.5	8	-0.47207478266860886	-1.8603043163809556
01	1	inverse_cdf	1	1	112.5	9	-0.5267513717068928	-1.8159485600102268
01	1	inverse_cdf	1	1	112.5	10	-0.396061641784248	-1.8137052821330215
01	1	inverse_cdf	1	1	112.5	11	-0.3615098952078914	-1.6912418777197646
01	1	inverse_cdf	1	1	112.5	12	-0.25586585795198613	-1.5499452404372474
01	1	inverse_cdf	1	1	112.5	13	-0.21042908603396107	-1.6298748716927693
01	1	inverse_cdf	1	1	112.5	14	-0.23340675492718282	-1.6502446633648693
01	1	inverse_cdf	1	1	112.5	15	-0.0030234203960993345	-1.4175209079477469
01	1	inverse_cdf	1	1	112.5	16	-0.05865431982230741	-1.493576775663678
01	1	inverse_cdf	1	1	112.5	17	-0.04034105755739114	-1.5019502666346494
01	1	inverse_cdf	1	1	112.5	18	-0.24437726766481757	-1.5857675311501924
01	1	inverse_cdf	1	1	112.5	19	-0.233061234365966	-1.7933390322149747
01	1	inverse_cdf	1	2	120.0	0	0.9174001040885915	0.09191190079510612
01	1	inverse_cdf	1	2	120.0	1	0.690947636524591	0.38241380808966613
01	1	inverse_cdf	1	2	120.0	2	0.8238684597896098	0.022977993677007983
01	1	inverse_cdf	1	2	120.0	3	2.2113539829895	0.20023599758143615
01	1	inverse_cdf	1	2	120.0	4	2.1441584613172053	-0.024619278744364096
01	1	inverse_cdf	1	2	120.0	5	0.6351514119335804	-1.2012448394652058
01	1	inverse_cdf	1	2	120.0	6	0.5301200406207723	-1.0601493340797357
01	1	inverse_cdf	1	2	120.0	7	0.33974208570637154	-1.35052767055394
01	1	inverse_cdf	1	2	120.0	8	0.5334023285796043	-1.466988456257238
01	1	inverse_cdf	1	2	120.0	9	0.34958944143235327	-1.2028854024932996
01	1	inverse_cdf	1	2	120.0	10	0.32989470990891206	-1.2455393409530917
01	1	inverse_cdf	1	2	120.0	11	0.3151236098511856	-1.6309969480020416
01	1	inverse_cdf	1	2	120.0	12	0.29706998642556265	-1.47026887071458
01	1	inverse_cdf	1	2	120.0	13	0.32004731462168173	-1.7605448889395268
01	1	inverse_cdf	1	2	120.0	14	0.5432491713633206	-1.7785818119087962
01	1	inverse_cdf	1	2	120.0	15	0.5760717456043073	-1.5621164827563243
01	1	inverse_cdf	1	2	120.0	16	0.5498137154264402	-1.8326904508029527
01	1	inverse_cdf	1	2	120.0	17	0.5990473238799513	-1.911388062438791
01	1	inverse_cdf	1	2	120.0	18	0.5268377491823755	-1.9556523177195357
01	1	inverse_cdf	1	2	120.0	19	0.42344391088518896	-1.5178337860580806
01	1	inverse_cdf	1	3	82.5	0	0.6893065892831741	-0.04431469563071923
01	1	inverse_cdf	1	3	82.5	1	0.5908414689198034	-0.19539852473699254
01	1	inverse_cdf	1	3	82.5	2	0.665813560158592	-0.4385599412139703
